ASDC1,ASDC2,ASDC3,ASDC4,ASDC5,ASDC6,ASDC7,ASDC8,ASDC9,ASDC10,ASDC11,ASDC12,ASDC13,ASDC14,ASDC15,ASDC16,Target
0.001219512,0.006097561,0.019512195,0.014634146,0.013414634,0.034146341,0.095121951,0.080487805,0.02195122,0.070731707,0.165853659,0.147560976,0.019512195,0.056097561,0.142682927,0.11097561,1
0.067073171,0.096341463,0.085365854,0.035365854,0.07804878,0.095121951,0.082926829,0.036585366,0.075609756,0.107317073,0.080487805,0.034146341,0.031707317,0.042682927,0.03902439,0.012195122,1
0.034146341,0.03902439,0.082926829,0.030487805,0.048780488,0.043902439,0.098780488,0.040243902,0.063414634,0.065853659,0.12804878,0.041463415,0.057317073,0.058536585,0.123170732,0.043902439,1
0.054878049,0.113414634,0.037804878,0.043902439,0.081707317,0.146341463,0.047560976,0.052439024,0.047560976,0.08902439,0.025609756,0.032926829,0.053658537,0.103658537,0.035365854,0.034146341,1
0.043902439,0.1,0.035365854,0.082926829,0.064634146,0.12804878,0.051219512,0.118292683,0.019512195,0.040243902,0.012195122,0.036585366,0.048780488,0.101219512,0.036585366,0.080487805,1
0.095121951,0.040243902,0.063414634,0.082926829,0.086585366,0.034146341,0.054878049,0.070731707,0.079268293,0.032926829,0.043902439,0.062195122,0.091463415,0.036585366,0.058536585,0.067073171,1
0.146341463,0.17195122,0.037804878,0.096341463,0.081707317,0.095121951,0.020731707,0.056097561,0.040243902,0.042682927,0.007317073,0.02195122,0.059756098,0.070731707,0.017073171,0.034146341,1
0.054878049,0.095121951,0.081707317,0.030487805,0.075609756,0.11097561,0.086585366,0.037804878,0.08902439,0.152439024,0.11097561,0.041463415,0.006097561,0.013414634,0.009756098,0.003658537,1
0.007317073,0.026829268,0.043902439,0.020731707,0.036585366,0.095121951,0.146341463,0.06097561,0.03902439,0.123170732,0.165853659,0.080487805,0.013414634,0.05,0.064634146,0.025609756,1
0.043902439,0.048780488,0.054878049,0.01097561,0.104878049,0.11097561,0.129268293,0.025609756,0.109756098,0.126829268,0.12804878,0.024390244,0.02195122,0.025609756,0.030487805,0.003658537,1
0.054878049,0.076829268,0.029268293,0.11097561,0.081707317,0.095121951,0.046341463,0.154878049,0.031707317,0.032926829,0.012195122,0.058536585,0.047560976,0.051219512,0.020731707,0.095121951,1
